,baseline_start,baseline_start,baseline_start,baseline_start,baseline_start,baseline_start,baseline_start,baseline_start,baseline_end,baseline_end,baseline_end,baseline_end,baseline_end,baseline_end,baseline_end,baseline_end,min_val,min_val,min_val,min_val,min_val,min_val,min_val,min_val,drop_mag,drop_mag,drop_mag,drop_mag,drop_mag,drop_mag,drop_mag,drop_mag,recovery_mag,recovery_mag,recovery_mag,recovery_mag,recovery_mag,recovery_mag,recovery_mag,recovery_mag,time_of_min,time_of_min,time_of_min,time_of_min,time_of_min,time_of_min,time_of_min,time_of_min,duration_below_95,duration_below_95,duration_below_95,duration_below_95,duration_below_95,duration_below_95,duration_below_95,duration_below_95,mean_val,mean_val,mean_val,mean_val,mean_val,mean_val,mean_val,mean_val,std_val,std_val,std_val,std_val,std_val,std_val,std_val,std_val
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56.0,94.7712708544485,2.30959139891881,86.90024979687888,93.80822547701749,95.23315170295683,96.28309734312265,98.33299121201783,56.0,94.81353057125791,2.326526041090047,87.30022908837061,93.80822547701749,95.13315688008389,96.40809087171382,99.06628657975268,56.0,93.65525720631308,2.5350696303245934,84.00039993356374,92.49995987776326,93.99988222085729,95.32481362392369,97.59969584428296,56.0,1.1160136481354404,1.123572147239128,0.0,0.2916515667127264,0.5999689372376196,1.7832410079006813,4.7997514979009,56.0,1.158273364944837,1.6735985731538587,-1.4210854715202004e-14,0.15832513621548117,0.533305721988981,1.34159720687855,8.266238690829326,56.0,10.339285714285714,8.36502846968863,0.0,1.75,9.5,16.25,24.0,56.0,11.678571428571429,10.572876348738516,0.0,0.0,9.5,25.0,25.0,56.0,94.82862502785348,2.202769012899418,85.74830943738264,93.89388770861198,95.19382040596014,96.27276454475911,98.09167037281783,56.0,0.7240155331869931,0.672135156310928,0.07482927352833578,0.24945548309420032,0.497154143473845,1.030330509054172,3.179933473974023
1,44.0,93.75898560211795,3.984414427716358,78.60067949842522,92.52495858348149,94.84983821527725,96.02477738403422,98.46631764251508,44.0,94.00139729393112,4.879182449039317,74.03424925389449,92.86660756163067,95.06649366483528,97.04972431848182,99.23294461787425,44.0,90.61142129123124,5.899998661082934,72.00102118881148,90.12508283453104,92.19997540914446,94.39986151234905,96.69974243842655,44.0,3.14756431088672,4.47182583691863,0.0666632152486244,0.7582940734530794,1.6832461850277411,3.7414729558289928,24.965374110609574,44.0,3.389976002699896,5.37728326409383,0.03333160762430509,0.33331607624311843,0.899953405856408,4.016458718729581,24.93204250298527,44.0,14.340909090909092,8.931114104877063,0.0,5.75,15.5,24.0,24.0,44.0,13.704545454545455,9.15900762740244,0.0,6.25,15.0,22.0,25.0,44.0,93.58926711638725,3.79151568252443,79.13665174902415,93.12892731363402,94.64784867307392,96.03277696986407,97.80768507585869,44.0,1.979758931222993,2.0338777043153464,0.23717119399618802,0.7245181571164497,1.182343936535752,2.2489495647234623,8.883047504963335
