,baseline_start,baseline_start,baseline_start,baseline_start,baseline_start,baseline_start,baseline_start,baseline_start,baseline_end,baseline_end,baseline_end,baseline_end,baseline_end,baseline_end,baseline_end,baseline_end,min_val,min_val,min_val,min_val,min_val,min_val,min_val,min_val,drop_mag,drop_mag,drop_mag,drop_mag,drop_mag,drop_mag,drop_mag,drop_mag,recovery_mag,recovery_mag,recovery_mag,recovery_mag,recovery_mag,recovery_mag,recovery_mag,recovery_mag,time_of_min,time_of_min,time_of_min,time_of_min,time_of_min,time_of_min,time_of_min,time_of_min,duration_below_95,duration_below_95,duration_below_95,duration_below_95,duration_below_95,duration_below_95,duration_below_95,duration_below_95,mean_val,mean_val,mean_val,mean_val,mean_val,mean_val,mean_val,mean_val,std_val,std_val,std_val,std_val,std_val,std_val,std_val,std_val
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2920.0,94.52982053728152,2.911457459827987,62.8014974845014,93.46657649886829,95.03316205721096,96.29976314693481,99.76625033986323,2920.0,94.58198678620037,2.862612622200888,61.1015854956615,93.49990810649263,95.09982527245957,96.29976314693481,99.632923909366,2920.0,93.42001498260132,3.4041833478529715,60.20163208980509,92.29997023201739,94.09987704373022,95.3998097410784,98.89962854163115,2920.0,1.1098055546801695,1.4878294220759831,-1.4210854715202004e-14,0.23332125337017828,0.6333005448619247,1.4665907354697225,20.298949043205923,2920.0,1.1619718035990407,2.114119402371572,-1.4210854715202004e-14,0.133326430497263,0.49997411436467587,1.2666010897238493,26.965270568068277,2920.0,11.689383561643835,8.684474633167621,0.0,3.0,12.0,20.0,24.0,2920.0,12.429109589041095,10.853557042484002,0.0,0.0,12.5,25.0,25.0,2920.0,94.53631472159987,2.7450600160840497,64.28942044885069,93.54690567324289,95.0218293106187,96.21276765103536,99.2356111464842,2920.0,0.6867282346279378,0.8505285340502352,0.028282806934800463,0.24017082703859874,0.4461158239852725,0.810157839732432,11.219981649961474
1,2080.0,93.09004150639308,5.575079585588536,52.6686887667106,91.66666968715548,94.53318794284628,96.49975279268068,99.99957159323343,2080.0,92.91298336570028,5.377672543819064,48.36891138317438,91.42501553187921,94.2998666894761,96.23309993168618,99.99957159323343,2080.0,89.43704153407072,6.601116535979801,48.002263699306944,87.10023944262474,91.30002200328803,93.79989257511141,98.59964407301233,2080.0,3.6529999723223576,3.8789310926521177,-1.4210854715202004e-14,0.8999534058564223,2.433207356574762,5.008074045552856,24.63205803436645,2080.0,3.4759418316295583,5.041586974091449,-1.4210854715202004e-14,0.2999844686188027,1.2666010897238706,4.69975667502797,43.8643956335944,2080.0,13.620192307692308,9.010547822689366,0.0,5.0,16.0,23.0,24.0,2080.0,14.03173076923077,8.66699704579607,0.0,7.0,15.0,22.0,25.0,2080.0,93.10262867521844,4.554651361534347,55.66586692428873,91.89999094052564,94.19587207368824,95.8527862886928,99.15561528818586,2080.0,2.3017034011178756,2.0874071724417917,0.07652054410793153,0.9245103562853567,1.6229797294943085,2.9683435781931897,19.428021490561342
